x3/4 : ['a', 'b', 'c', 'e', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p', 'q', 'r', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']
s4 : ['c', 'z', 'q', 'f', 'l', 'v', 'g', 'p', 'k', 'n', 'u', 'e', 'd', 'a', 'r', 'w', 'x', 'j', 'y', 'b', 'i', 't', 'h', 's', 'o', 'm']
x11/12 : ['c', 'z', 'q', 'f', 'l', 'v', 'g', 'p', 'k', 'n', 'u', 'd', 'e', 'a', 'r', 'w', 'x', 'j', 'y', 'b', 'i', 't', 'h', 's', 'o', 'm']
s5 : ['t', 'h', 's', 'o', 'm', 'c', 'z', 'q', 'f', 'l', 'v', 'g', 'p', 'k', 'n', 'u', 'd', 'e', 'a', 'r', 'w', 'x', 'j', 'y', 'b', 'i']
x14/3 : ['t', 'h', 's', 'n', 'm', 'c', 'z', 'q', 'f', 'l', 'v', 'g', 'p', 'k', 'o', 'u', 'd', 'e', 'a', 'r', 'w', 'x', 'j', 'y', 'b', 'i']
s2 : ['b', 'i', 't', 'h', 's', 'n', 'm', 'c', 'z', 'q', 'f', 'l', 'v', 'g', 'p', 'k', 'o', 'u', 'd', 'e', 'a', 'r', 'w', 'x', 'j', 'y']
x8/10 : ['b', 'i', 't', 'h', 's', 'n', 'm', 'c', 'f', 'q', 'z', 'l', 'v', 'g', 'p', 'k', 'o', 'u', 'd', 'e', 'a', 'r', 'w', 'x', 'j', 'y']
s7 : ['e', 'a', 'r', 'w', 'x', 'j', 'y', 'b', 'i', 't', 'h', 's', 'n', 'm', 'c', 'f', 'q', 'z', 'l', 'v', 'g', 'p', 'k', 'o', 'u', 'd']
pb/f : ['e', 'a', 'r', 'w', 'x', 'j', 'y', 'f', 'i', 't', 'h', 's', 'n', 'm', 'c', 'b', 'q', 'z', 'l', 'v', 'g', 'p', 'k', 'o', 'u', 'd']
s1 : ['d', 'e', 'a', 'r', 'w', 'x', 'j', 'y', 'f', 'i', 't', 'h', 's', 'n', 'm', 'c', 'b', 'q', 'z', 'l', 'v', 'g', 'p', 'k', 'o', 'u']
x7/6 : ['d', 'e', 'a', 'r', 'w', 'x', 'y', 'j', 'f', 'i', 't', 'h', 's', 'n', 'm', 'c', 'b', 'q', 'z', 'l', 'v', 'g', 'p', 'k', 'o', 'u']
s7 : ['l', 'v', 'g', 'p', 'k', 'o', 'u', 'd', 'e', 'a', 'r', 'w', 'x', 'y', 'j', 'f', 'i', 't', 'h', 's', 'n', 'm', 'c', 'b', 'q', 'z']
x15/9 : ['l', 'v', 'g', 'p', 'k', 'o', 'u', 'd', 'e', 'f', 'r', 'w', 'x', 'y', 'j', 'a', 'i', 't', 'h', 's', 'n', 'm', 'c', 'b', 'q', 'z']
s13 : ['y', 'j', 'a', 'i', 't', 'h', 's', 'n', 'm', 'c', 'b', 'q', 'z', 'l', 'v', 'g', 'p', 'k', 'o', 'u', 'd', 'e', 'f', 'r', 'w', 'x']
x13/12 : ['y', 'j', 'a', 'i', 't', 'h', 's', 'n', 'm', 'c', 'b', 'q', 'l', 'z', 'v', 'g', 'p', 'k', 'o', 'u', 'd', 'e', 'f', 'r', 'w', 'x']
pg/h : ['y', 'j', 'a', 'i', 't', 'g', 's', 'n', 'm', 'c', 'b', 'q', 'l', 'z', 'v', 'h', 'p', 'k', 'o', 'u', 'd', 'e', 'f', 'r', 'w', 'x']
x3/4 : ['y', 'j', 'a', 't', 'i', 'g', 's', 'n', 'm', 'c', 'b', 'q', 'l', 'z', 'v', 'h', 'p', 'k', 'o', 'u', 'd', 'e', 'f', 'r', 'w', 'x']
s13 : ['z', 'v', 'h', 'p', 'k', 'o', 'u', 'd', 'e', 'f', 'r', 'w', 'x', 'y', 'j', 'a', 't', 'i', 'g', 's', 'n', 'm', 'c', 'b', 'q', 'l']
x13/9 : ['z', 'v', 'h', 'p', 'k', 'o', 'u', 'd', 'e', 'y', 'r', 'w', 'x', 'f', 'j', 'a', 't', 'i', 'g', 's', 'n', 'm', 'c', 'b', 'q', 'l']
s5 : ['m', 'c', 'b', 'q', 'l', 'z', 'v', 'h', 'p', 'k', 'o', 'u', 'd', 'e', 'y', 'r', 'w', 'x', 'f', 'j', 'a', 't', 'i', 'g', 's', 'n']
x12/6 : ['m', 'c', 'b', 'q', 'l', 'z', 'd', 'h', 'p', 'k', 'o', 'u', 'v', 'e', 'y', 'r', 'w', 'x', 'f', 'j', 'a', 't', 'i', 'g', 's', 'n']
pk/c : ['m', 'k', 'b', 'q', 'l', 'z', 'd', 'h', 'p', 'c', 'o', 'u', 'v', 'e', 'y', 'r', 'w', 'x', 'f', 'j', 'a', 't', 'i', 'g', 's', 'n']
s10 : ['w', 'x', 'f', 'j', 'a', 't', 'i', 'g', 's', 'n', 'm', 'k', 'b', 'q', 'l', 'z', 'd', 'h', 'p', 'c', 'o', 'u', 'v', 'e', 'y', 'r']
x8/1 : ['w', 's', 'f', 'j', 'a', 't', 'i', 'g', 'x', 'n', 'm', 'k', 'b', 'q', 'l', 'z', 'd', 'h', 'p', 'c', 'o', 'u', 'v', 'e', 'y', 'r']
s11 : ['z', 'd', 'h', 'p', 'c', 'o', 'u', 'v', 'e', 'y', 'r', 'w', 's', 'f', 'j', 'a', 't', 'i', 'g', 'x', 'n', 'm', 'k', 'b', 'q', 'l']
x14/0 : ['j', 'd', 'h', 'p', 'c', 'o', 'u', 'v', 'e', 'y', 'r', 'w', 's', 'f', 'z', 'a', 't', 'i', 'g', 'x', 'n', 'm', 'k', 'b', 'q', 'l']
pm/p : ['j', 'd', 'h', 'm', 'c', 'o', 'u', 'v', 'e', 'y', 'r', 'w', 's', 'f', 'z', 'a', 't', 'i', 'g', 'x', 'n', 'p', 'k', 'b', 'q', 'l']
s12 : ['z', 'a', 't', 'i', 'g', 'x', 'n', 'p', 'k', 'b', 'q', 'l', 'j', 'd', 'h', 'm', 'c', 'o', 'u', 'v', 'e', 'y', 'r', 'w', 's', 'f']
x2/1 : ['z', 't', 'a', 'i', 'g', 'x', 'n', 'p', 'k', 'b', 'q', 'l', 'j', 'd', 'h', 'm', 'c', 'o', 'u', 'v', 'e', 'y', 'r', 'w', 's', 'f']
pb/h : ['z', 't', 'a', 'i', 'g', 'x', 'n', 'p', 'k', 'h', 'q', 'l', 'j', 'd', 'b', 'm', 'c', 'o', 'u', 'v', 'e', 'y', 'r', 'w', 's', 'f']
x0/4 : ['g', 't', 'a', 'i', 'z', 'x', 'n', 'p', 'k', 'h', 'q', 'l', 'j', 'd', 'b', 'm', 'c', 'o', 'u', 'v', 'e', 'y', 'r', 'w', 's', 'f']
pm/l : ['g', 't', 'a', 'i', 'z', 'x', 'n', 'p', 'k', 'h', 'q', 'm', 'j', 'd', 'b', 'l', 'c', 'o', 'u', 'v', 'e', 'y', 'r', 'w', 's', 'f']
x13/6 : ['g', 't', 'a', 'i', 'z', 'x', 'd', 'p', 'k', 'h', 'q', 'm', 'j', 'n', 'b', 'l', 'c', 'o', 'u', 'v', 'e', 'y', 'r', 'w', 's', 'f']
s3 : ['w', 's', 'f', 'g', 't', 'a', 'i', 'z', 'x', 'd', 'p', 'k', 'h', 'q', 'm', 'j', 'n', 'b', 'l', 'c', 'o', 'u', 'v', 'e', 'y', 'r']
x5/14 : ['w', 's', 'f', 'g', 't', 'm', 'i', 'z', 'x', 'd', 'p', 'k', 'h', 'q', 'a', 'j', 'n', 'b', 'l', 'c', 'o', 'u', 'v', 'e', 'y', 'r']
s14 : ['h', 'q', 'a', 'j', 'n', 'b', 'l', 'c', 'o', 'u', 'v', 'e', 'y', 'r', 'w', 's', 'f', 'g', 't', 'm', 'i', 'z', 'x', 'd', 'p', 'k']
x10/3 : ['h', 'q', 'a', 'v', 'n', 'b', 'l', 'c', 'o', 'u', 'j', 'e', 'y', 'r', 'w', 's', 'f', 'g', 't', 'm', 'i', 'z', 'x', 'd', 'p', 'k']
po/j : ['h', 'q', 'a', 'v', 'n', 'b', 'l', 'c', 'j', 'u', 'o', 'e', 'y', 'r', 'w', 's', 'f', 'g', 't', 'm', 'i', 'z', 'x', 'd', 'p', 'k']
x0/9 : ['u', 'q', 'a', 'v', 'n', 'b', 'l', 'c', 'j', 'h', 'o', 'e', 'y', 'r', 'w', 's', 'f', 'g', 't', 'm', 'i', 'z', 'x', 'd', 'p', 'k']
s12 : ['w', 's', 'f', 'g', 't', 'm', 'i', 'z', 'x', 'd', 'p', 'k', 'u', 'q', 'a', 'v', 'n', 'b', 'l', 'c', 'j', 'h', 'o', 'e', 'y', 'r']
x1/5 : ['w', 'm', 'f', 'g', 't', 's', 'i', 'z', 'x', 'd', 'p', 'k', 'u', 'q', 'a', 'v', 'n', 'b', 'l', 'c', 'j', 'h', 'o', 'e', 'y', 'r']
s9 : ['b', 'l', 'c', 'j', 'h', 'o', 'e', 'y', 'r', 'w', 'm', 'f', 'g', 't', 's', 'i', 'z', 'x', 'd', 'p', 'k', 'u', 'q', 'a', 'v', 'n']
x8/4 : ['b', 'l', 'c', 'j', 'r', 'o', 'e', 'y', 'h', 'w', 'm', 'f', 'g', 't', 's', 'i', 'z', 'x', 'd', 'p', 'k', 'u', 'q', 'a', 'v', 'n']
s1 : ['n', 'b', 'l', 'c', 'j', 'r', 'o', 'e', 'y', 'h', 'w', 'm', 'f', 'g', 't', 's', 'i', 'z', 'x', 'd', 'p', 'k', 'u', 'q', 'a', 'v']
x12/6 : ['n', 'b', 'l', 'c', 'j', 'r', 'f', 'e', 'y', 'h', 'w', 'm', 'o', 'g', 't', 's', 'i', 'z', 'x', 'd', 'p', 'k', 'u', 'q', 'a', 'v']
ph/g : ['n', 'b', 'l', 'c', 'j', 'r', 'f', 'e', 'y', 'g', 'w', 'm', 'o', 'h', 't', 's', 'i', 'z', 'x', 'd', 'p', 'k', 'u', 'q', 'a', 'v']
x10/11 : ['n', 'b', 'l', 'c', 'j', 'r', 'f', 'e', 'y', 'g', 'm', 'w', 'o', 'h', 't', 's', 'i', 'z', 'x', 'd', 'p', 'k', 'u', 'q', 'a', 'v']
s5 : ['k', 'u', 'q', 'a', 'v', 'n', 'b', 'l', 'c', 'j', 'r', 'f', 'e', 'y', 'g', 'm', 'w', 'o', 'h', 't', 's', 'i', 'z', 'x', 'd', 'p']
x12/9 : ['k', 'u', 'q', 'a', 'v', 'n', 'b', 'l', 'c', 'e', 'r', 'f', 'j', 'y', 'g', 'm', 'w', 'o', 'h', 't', 's', 'i', 'z', 'x', 'd', 'p']
pd/n : ['k', 'u', 'q', 'a', 'v', 'd', 'b', 'l', 'c', 'e', 'r', 'f', 'j', 'y', 'g', 'm', 'w', 'o', 'h', 't', 's', 'i', 'z', 'x', 'n', 'p']
x1/14 : ['k', 'g', 'q', 'a', 'v', 'd', 'b', 'l', 'c', 'e', 'r', 'f', 'j', 'y', 'u', 'm', 'w', 'o', 'h', 't', 's', 'i', 'z', 'x', 'n', 'p']
s6 : ['s', 'i', 'z', 'x', 'n', 'p', 'k', 'g', 'q', 'a', 'v', 'd', 'b', 'l', 'c', 'e', 'r', 'f', 'j', 'y', 'u', 'm', 'w', 'o', 'h', 't']
x11/4 : ['s', 'i', 'z', 'x', 'd', 'p', 'k', 'g', 'q', 'a', 'v', 'n', 'b', 'l', 'c', 'e', 'r', 'f', 'j', 'y', 'u', 'm', 'w', 'o', 'h', 't']
pi/e : ['s', 'e', 'z', 'x', 'd', 'p', 'k', 'g', 'q', 'a', 'v', 'n', 'b', 'l', 'c', 'i', 'r', 'f', 'j', 'y', 'u', 'm', 'w', 'o', 'h', 't']
x2/1 : ['s', 'z', 'e', 'x', 'd', 'p', 'k', 'g', 'q', 'a', 'v', 'n', 'b', 'l', 'c', 'i', 'r', 'f', 'j', 'y', 'u', 'm', 'w', 'o', 'h', 't']
pn/f : ['s', 'z', 'e', 'x', 'd', 'p', 'k', 'g', 'q', 'a', 'v', 'f', 'b', 'l', 'c', 'i', 'r', 'n', 'j', 'y', 'u', 'm', 'w', 'o', 'h', 't']
x11/13 : ['s', 'z', 'e', 'x', 'd', 'p', 'k', 'g', 'q', 'a', 'v', 'l', 'b', 'f', 'c', 'i', 'r', 'n', 'j', 'y', 'u', 'm', 'w', 'o', 'h', 't']
s1 : ['t', 's', 'z', 'e', 'x', 'd', 'p', 'k', 'g', 'q', 'a', 'v', 'l', 'b', 'f', 'c', 'i', 'r', 'n', 'j', 'y', 'u', 'm', 'w', 'o', 'h']
x5/0 : ['d', 's', 'z', 'e', 'x', 't', 'p', 'k', 'g', 'q', 'a', 'v', 'l', 'b', 'f', 'c', 'i', 'r', 'n', 'j', 'y', 'u', 'm', 'w', 'o', 'h']
s2 : ['o', 'h', 'd', 's', 'z', 'e', 'x', 't', 'p', 'k', 'g', 'q', 'a', 'v', 'l', 'b', 'f', 'c', 'i', 'r', 'n', 'j', 'y', 'u', 'm', 'w']
x6/9 : ['o', 'h', 'd', 's', 'z', 'e', 'k', 't', 'p', 'x', 'g', 'q', 'a', 'v', 'l', 'b', 'f', 'c', 'i', 'r', 'n', 'j', 'y', 'u', 'm', 'w']
pa/e : ['o', 'h', 'd', 's', 'z', 'a', 'k', 't', 'p', 'x', 'g', 'q', 'e', 'v', 'l', 'b', 'f', 'c', 'i', 'r', 'n', 'j', 'y', 'u', 'm', 'w']
x0/10 : ['g', 'h', 'd', 's', 'z', 'a', 'k', 't', 'p', 'x', 'o', 'q', 'e', 'v', 'l', 'b', 'f', 'c', 'i', 'r', 'n', 'j', 'y', 'u', 'm', 'w']
pg/f : ['f', 'h', 'd', 's', 'z', 'a', 'k', 't', 'p', 'x', 'o', 'q', 'e', 'v', 'l', 'b', 'g', 'c', 'i', 'r', 'n', 'j', 'y', 'u', 'm', 'w']
x13/15 : ['f', 'h', 'd', 's', 'z', 'a', 'k', 't', 'p', 'x', 'o', 'q', 'e', 'b', 'l', 'v', 'g', 'c', 'i', 'r', 'n', 'j', 'y', 'u', 'm', 'w']
s9 : ['c', 'i', 'r', 'n', 'j', 'y', 'u', 'm', 'w', 'f', 'h', 'd', 's', 'z', 'a', 'k', 't', 'p', 'x', 'o', 'q', 'e', 'b', 'l', 'v', 'g']
x5/11 : ['c', 'i', 'r', 'n', 'j', 'd', 'u', 'm', 'w', 'f', 'h', 'y', 's', 'z', 'a', 'k', 't', 'p', 'x', 'o', 'q', 'e', 'b', 'l', 'v', 'g']
po/c : ['o', 'i', 'r', 'n', 'j', 'd', 'u', 'm', 'w', 'f', 'h', 'y', 's', 'z', 'a', 'k', 't', 'p', 'x', 'c', 'q', 'e', 'b', 'l', 'v', 'g']
x15/13 : ['o', 'i', 'r', 'n', 'j', 'd', 'u', 'm', 'w', 'f', 'h', 'y', 's', 'k', 'a', 'z', 't', 'p', 'x', 'c', 'q', 'e', 'b', 'l', 'v', 'g']
s15 : ['y', 's', 'k', 'a', 'z', 't', 'p', 'x', 'c', 'q', 'e', 'b', 'l', 'v', 'g', 'o', 'i', 'r', 'n', 'j', 'd', 'u', 'm', 'w', 'f', 'h']
x1/7 : ['y', 'x', 'k', 'a', 'z', 't', 'p', 's', 'c', 'q', 'e', 'b', 'l', 'v', 'g', 'o', 'i', 'r', 'n', 'j', 'd', 'u', 'm', 'w', 'f', 'h']
pp/l : ['y', 'x', 'k', 'a', 'z', 't', 'l', 's', 'c', 'q', 'e', 'b', 'p', 'v', 'g', 'o', 'i', 'r', 'n', 'j', 'd', 'u', 'm', 'w', 'f', 'h']
x6/15 : ['y', 'x', 'k', 'a', 'z', 't', 'o', 's', 'c', 'q', 'e', 'b', 'p', 'v', 'g', 'l', 'i', 'r', 'n', 'j', 'd', 'u', 'm', 'w', 'f', 'h']
pg/k : ['y', 'x', 'g', 'a', 'z', 't', 'o', 's', 'c', 'q', 'e', 'b', 'p', 'v', 'k', 'l', 'i', 'r', 'n', 'j', 'd', 'u', 'm', 'w', 'f', 'h']
x12/14 : ['y', 'x', 'g', 'a', 'z', 't', 'o', 's', 'c', 'q', 'e', 'b', 'k', 'v', 'p', 'l', 'i', 'r', 'n', 'j', 'd', 'u', 'm', 'w', 'f', 'h']
s7 : ['j', 'd', 'u', 'm', 'w', 'f', 'h', 'y', 'x', 'g', 'a', 'z', 't', 'o', 's', 'c', 'q', 'e', 'b', 'k', 'v', 'p', 'l', 'i', 'r', 'n']
x10/1 : ['j', 'a', 'u', 'm', 'w', 'f', 'h', 'y', 'x', 'g', 'd', 'z', 't', 'o', 's', 'c', 'q', 'e', 'b', 'k', 'v', 'p', 'l', 'i', 'r', 'n']
s12 : ['s', 'c', 'q', 'e', 'b', 'k', 'v', 'p', 'l', 'i', 'r', 'n', 'j', 'a', 'u', 'm', 'w', 'f', 'h', 'y', 'x', 'g', 'd', 'z', 't', 'o']
pf/i : ['s', 'c', 'q', 'e', 'b', 'k', 'v', 'p', 'l', 'f', 'r', 'n', 'j', 'a', 'u', 'm', 'w', 'i', 'h', 'y', 'x', 'g', 'd', 'z', 't', 'o']
x2/7 : ['s', 'c', 'p', 'e', 'b', 'k', 'v', 'q', 'l', 'f', 'r', 'n', 'j', 'a', 'u', 'm', 'w', 'i', 'h', 'y', 'x', 'g', 'd', 'z', 't', 'o']
s9 : ['i', 'h', 'y', 'x', 'g', 'd', 'z', 't', 'o', 's', 'c', 'p', 'e', 'b', 'k', 'v', 'q', 'l', 'f', 'r', 'n', 'j', 'a', 'u', 'm', 'w']
x13/4 : ['i', 'h', 'y', 'x', 'b', 'd', 'z', 't', 'o', 's', 'c', 'p', 'e', 'g', 'k', 'v', 'q', 'l', 'f', 'r', 'n', 'j', 'a', 'u', 'm', 'w']
pl/d : ['i', 'h', 'y', 'x', 'b', 'l', 'z', 't', 'o', 's', 'c', 'p', 'e', 'g', 'k', 'v', 'q', 'd', 'f', 'r', 'n', 'j', 'a', 'u', 'm', 'w']
x14/10 : ['i', 'h', 'y', 'x', 'b', 'l', 'z', 't', 'o', 's', 'k', 'p', 'e', 'g', 'c', 'v', 'q', 'd', 'f', 'r', 'n', 'j', 'a', 'u', 'm', 'w']
s10 : ['q', 'd', 'f', 'r', 'n', 'j', 'a', 'u', 'm', 'w', 'i', 'h', 'y', 'x', 'b', 'l', 'z', 't', 'o', 's', 'k', 'p', 'e', 'g', 'c', 'v']
pm/k : ['q', 'd', 'f', 'r', 'n', 'j', 'a', 'u', 'k', 'w', 'i', 'h', 'y', 'x', 'b', 'l', 'z', 't', 'o', 's', 'm', 'p', 'e', 'g', 'c', 'v']
x15/1 : ['q', 'l', 'f', 'r', 'n', 'j', 'a', 'u', 'k', 'w', 'i', 'h', 'y', 'x', 'b', 'd', 'z', 't', 'o', 's', 'm', 'p', 'e', 'g', 'c', 'v']
pd/e : ['q', 'l', 'f', 'r', 'n', 'j', 'a', 'u', 'k', 'w', 'i', 'h', 'y', 'x', 'b', 'e', 'z', 't', 'o', 's', 'm', 'p', 'd', 'g', 'c', 'v']
s1 : ['v', 'q', 'l', 'f', 'r', 'n', 'j', 'a', 'u', 'k', 'w', 'i', 'h', 'y', 'x', 'b', 'e', 'z', 't', 'o', 's', 'm', 'p', 'd', 'g', 'c']
x11/12 : ['v', 'q', 'l', 'f', 'r', 'n', 'j', 'a', 'u', 'k', 'w', 'h', 'i', 'y', 'x', 'b', 'e', 'z', 't', 'o', 's', 'm', 'p', 'd', 'g', 'c']
s2 : ['g', 'c', 'v', 'q', 'l', 'f', 'r', 'n', 'j', 'a', 'u', 'k', 'w', 'h', 'i', 'y', 'x', 'b', 'e', 'z', 't', 'o', 's', 'm', 'p', 'd']
pg/o : ['o', 'c', 'v', 'q', 'l', 'f', 'r', 'n', 'j', 'a', 'u', 'k', 'w', 'h', 'i', 'y', 'x', 'b', 'e', 'z', 't', 'g', 's', 'm', 'p', 'd']
x6/9 : ['o', 'c', 'v', 'q', 'l', 'f', 'a', 'n', 'j', 'r', 'u', 'k', 'w', 'h', 'i', 'y', 'x', 'b', 'e', 'z', 't', 'g', 's', 'm', 'p', 'd']
s14 : ['w', 'h', 'i', 'y', 'x', 'b', 'e', 'z', 't', 'g', 's', 'm', 'p', 'd', 'o', 'c', 'v', 'q', 'l', 'f', 'a', 'n', 'j', 'r', 'u', 'k']
x14/2 : ['w', 'h', 'o', 'y', 'x', 'b', 'e', 'z', 't', 'g', 's', 'm', 'p', 'd', 'i', 'c', 'v', 'q', 'l', 'f', 'a', 'n', 'j', 'r', 'u', 'k']
s4 : ['j', 'r', 'u', 'k', 'w', 'h', 'o', 'y', 'x', 'b', 'e', 'z', 't', 'g', 's', 'm', 'p', 'd', 'i', 'c', 'v', 'q', 'l', 'f', 'a', 'n']
x8/10 : ['j', 'r', 'u', 'k', 'w', 'h', 'o', 'y', 'e', 'b', 'x', 'z', 't', 'g', 's', 'm', 'p', 'd', 'i', 'c', 'v', 'q', 'l', 'f', 'a', 'n']
s4 : ['l', 'f', 'a', 'n', 'j', 'r', 'u', 'k', 'w', 'h', 'o', 'y', 'e', 'b', 'x', 'z', 't', 'g', 's', 'm', 'p', 'd', 'i', 'c', 'v', 'q']
x4/14 : ['l', 'f', 'a', 'n', 'x', 'r', 'u', 'k', 'w', 'h', 'o', 'y', 'e', 'b', 'j', 'z', 't', 'g', 's', 'm', 'p', 'd', 'i', 'c', 'v', 'q']
s15 : ['y', 'e', 'b', 'j', 'z', 't', 'g', 's', 'm', 'p', 'd', 'i', 'c', 'v', 'q', 'l', 'f', 'a', 'n', 'x', 'r', 'u', 'k', 'w', 'h', 'o']
pa/k : ['y', 'e', 'b', 'j', 'z', 't', 'g', 's', 'm', 'p', 'd', 'i', 'c', 'v', 'q', 'l', 'f', 'k', 'n', 'x', 'r', 'u', 'a', 'w', 'h', 'o']
x3/11 : ['y', 'e', 'b', 'i', 'z', 't', 'g', 's', 'm', 'p', 'd', 'j', 'c', 'v', 'q', 'l', 'f', 'k', 'n', 'x', 'r', 'u', 'a', 'w', 'h', 'o']
s14 : ['c', 'v', 'q', 'l', 'f', 'k', 'n', 'x', 'r', 'u', 'a', 'w', 'h', 'o', 'y', 'e', 'b', 'i', 'z', 't', 'g', 's', 'm', 'p', 'd', 'j']
x14/15 : ['c', 'v', 'q', 'l', 'f', 'k', 'n', 'x', 'r', 'u', 'a', 'w', 'h', 'o', 'e', 'y', 'b', 'i', 'z', 't', 'g', 's', 'm', 'p', 'd', 'j']
pl/c : ['l', 'v', 'q', 'c', 'f', 'k', 'n', 'x', 'r', 'u', 'a', 'w', 'h', 'o', 'e', 'y', 'b', 'i', 'z', 't', 'g', 's', 'm', 'p', 'd', 'j']
x8/3 : ['l', 'v', 'q', 'r', 'f', 'k', 'n', 'x', 'c', 'u', 'a', 'w', 'h', 'o', 'e', 'y', 'b', 'i', 'z', 't', 'g', 's', 'm', 'p', 'd', 'j']
s13 : ['o', 'e', 'y', 'b', 'i', 'z', 't', 'g', 's', 'm', 'p', 'd', 'j', 'l', 'v', 'q', 'r', 'f', 'k', 'n', 'x', 'c', 'u', 'a', 'w', 'h']
x5/1 : ['o', 'z', 'y', 'b', 'i', 'e', 't', 'g', 's', 'm', 'p', 'd', 'j', 'l', 'v', 'q', 'r', 'f', 'k', 'n', 'x', 'c', 'u', 'a', 'w', 'h']
s14 : ['j', 'l', 'v', 'q', 'r', 'f', 'k', 'n', 'x', 'c', 'u', 'a', 'w', 'h', 'o', 'z', 'y', 'b', 'i', 'e', 't', 'g', 's', 'm', 'p', 'd']
x14/8 : ['j', 'l', 'v', 'q', 'r', 'f', 'k', 'n', 'o', 'c', 'u', 'a', 'w', 'h', 'x', 'z', 'y', 'b', 'i', 'e', 't', 'g', 's', 'm', 'p', 'd']
s13 : ['h', 'x', 'z', 'y', 'b', 'i', 'e', 't', 'g', 's', 'm', 'p', 'd', 'j', 'l', 'v', 'q', 'r', 'f', 'k', 'n', 'o', 'c', 'u', 'a', 'w']
x3/7 : ['h', 'x', 'z', 't', 'b', 'i', 'e', 'y', 'g', 's', 'm', 'p', 'd', 'j', 'l', 'v', 'q', 'r', 'f', 'k', 'n', 'o', 'c', 'u', 'a', 'w']
pf/p : ['h', 'x', 'z', 't', 'b', 'i', 'e', 'y', 'g', 's', 'm', 'f', 'd', 'j', 'l', 'v', 'q', 'r', 'p', 'k', 'n', 'o', 'c', 'u', 'a', 'w']
x13/8 : ['h', 'x', 'z', 't', 'b', 'i', 'e', 'y', 'j', 's', 'm', 'f', 'd', 'g', 'l', 'v', 'q', 'r', 'p', 'k', 'n', 'o', 'c', 'u', 'a', 'w']
pg/l : ['h', 'x', 'z', 't', 'b', 'i', 'e', 'y', 'j', 's', 'm', 'f', 'd', 'l', 'g', 'v', 'q', 'r', 'p', 'k', 'n', 'o', 'c', 'u', 'a', 'w']
x7/6 : ['h', 'x', 'z', 't', 'b', 'i', 'y', 'e', 'j', 's', 'm', 'f', 'd', 'l', 'g', 'v', 'q', 'r', 'p', 'k', 'n', 'o', 'c', 'u', 'a', 'w']
s2 : ['a', 'w', 'h', 'x', 'z', 't', 'b', 'i', 'y', 'e', 'j', 's', 'm', 'f', 'd', 'l', 'g', 'v', 'q', 'r', 'p', 'k', 'n', 'o', 'c', 'u']
x11/9 : ['a', 'w', 'h', 'x', 'z', 't', 'b', 'i', 'y', 's', 'j', 'e', 'm', 'f', 'd', 'l', 'g', 'v', 'q', 'r', 'p', 'k', 'n', 'o', 'c', 'u']
ph/o : ['a', 'w', 'o', 'x', 'z', 't', 'b', 'i', 'y', 's', 'j', 'e', 'm', 'f', 'd', 'l', 'g', 'v', 'q', 'r', 'p', 'k', 'n', 'h', 'c', 'u']
x0/2 : ['o', 'w', 'a', 'x', 'z', 't', 'b', 'i', 'y', 's', 'j', 'e', 'm', 'f', 'd', 'l', 'g', 'v', 'q', 'r', 'p', 'k', 'n', 'h', 'c', 'u']
pd/e : ['o', 'w', 'a', 'x', 'z', 't', 'b', 'i', 'y', 's', 'j', 'd', 'm', 'f', 'e', 'l', 'g', 'v', 'q', 'r', 'p', 'k', 'n', 'h', 'c', 'u']
x4/6 : ['o', 'w', 'a', 'x', 'b', 't', 'z', 'i', 'y', 's', 'j', 'd', 'm', 'f', 'e', 'l', 'g', 'v', 'q', 'r', 'p', 'k', 'n', 'h', 'c', 'u']
s5 : ['k', 'n', 'h', 'c', 'u', 'o', 'w', 'a', 'x', 'b', 't', 'z', 'i', 'y', 's', 'j', 'd', 'm', 'f', 'e', 'l', 'g', 'v', 'q', 'r', 'p']
x7/2 : ['k', 'n', 'a', 'c', 'u', 'o', 'w', 'h', 'x', 'b', 't', 'z', 'i', 'y', 's', 'j', 'd', 'm', 'f', 'e', 'l', 'g', 'v', 'q', 'r', 'p']
s2 : ['r', 'p', 'k', 'n', 'a', 'c', 'u', 'o', 'w', 'h', 'x', 'b', 't', 'z', 'i', 'y', 's', 'j', 'd', 'm', 'f', 'e', 'l', 'g', 'v', 'q']
pj/i : ['r', 'p', 'k', 'n', 'a', 'c', 'u', 'o', 'w', 'h', 'x', 'b', 't', 'z', 'j', 'y', 's', 'i', 'd', 'm', 'f', 'e', 'l', 'g', 'v', 'q']
s5 : ['e', 'l', 'g', 'v', 'q', 'r', 'p', 'k', 'n', 'a', 'c', 'u', 'o', 'w', 'h', 'x', 'b', 't', 'z', 'j', 'y', 's', 'i', 'd', 'm', 'f']
x5/12 : ['e', 'l', 'g', 'v', 'q', 'o', 'p', 'k', 'n', 'a', 'c', 'u', 'r', 'w', 'h', 'x', 'b', 't', 'z', 'j', 'y', 's', 'i', 'd', 'm', 'f']
s13 : ['w', 'h', 'x', 'b', 't', 'z', 'j', 'y', 's', 'i', 'd', 'm', 'f', 'e', 'l', 'g', 'v', 'q', 'o', 'p', 'k', 'n', 'a', 'c', 'u', 'r']
